State,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010
Alabama,996,991,1038,1004,1154,1148,1207,1110,969,848,862
Alaska,106,89,89,98,101,73,74,82,62,64,56
Arizona,1036,1051,1132,1118,1151,1179,1293,1071,938,806,759
Arkansas,652,611,640,640,703,654,665,649,600,596,571
California,3753,3956,4088,4224,4120,4333,4240,3995,3434,3090,2720
Colorado,681,741,743,642,667,606,535,554,548,465,450
Connecticut,341,318,325,298,294,278,311,296,302,224,320
Delaware,123,136,124,142,134,133,148,117,121,116,101
District of Columbia,48,68,47,67,43,48,37,44,34,29,24
Florida,2999,3012,3136,3169,3244,3518,3357,3213,2980,2560,2444
Georgia,1541,1647,1524,1603,1634,1729,1693,1641,1495,1292,1247
Hawaii,132,140,119,133,142,140,161,138,107,109,113
Idaho,276,259,264,293,260,275,267,252,232,226,209
Illinois,1418,1414,1420,1454,1355,1363,1254,1248,1043,911,927
Indiana,886,909,792,833,947,938,902,898,820,693,754
Iowa,445,446,405,443,388,450,439,446,412,371,390
Kansas,461,494,507,469,459,428,468,416,384,386,431
Kentucky,820,845,915,928,964,985,913,864,825,791,760
Louisiana,938,952,907,940,927,963,987,993,916,824,721
Maine,169,192,216,207,194,169,188,183,155,159,161
Maryland,588,659,661,650,643,614,652,614,591,549,496
Massachusetts,433,477,459,462,476,441,429,434,364,340,347
Michigan,1382,1328,1277,1283,1159,1129,1086,1087,980,872,942
Minnesota,625,568,657,655,567,559,494,510,455,421,411
Mississippi,949,784,885,872,900,931,911,884,783,700,641
Missouri,1157,1098,1208,1232,1130,1257,1096,992,960,878,821
Montana,237,230,269,262,229,251,264,277,229,221,189
Nebraska,276,246,307,293,254,276,269,256,208,223,190
Nevada,323,314,381,368,395,427,431,373,324,243,257
New Hampshire,126,142,127,127,171,166,127,129,138,110,128
New Jersey,731,745,771,733,723,747,771,724,590,584,556
New Mexico,432,464,449,439,521,488,484,413,366,361,349
New York,1460,1564,1530,1493,1495,1434,1454,1332,1238,1158,1201
North Carolina,1557,1530,1576,1553,1573,1547,1554,1676,1428,1313,1320
North Dakota,86,105,97,105,100,123,111,111,104,140,105
Ohio,1366,1378,1418,1274,1286,1321,1238,1255,1191,1022,1080
Oklahoma,650,682,739,671,774,803,765,766,750,737,668
Oregon,451,488,436,512,456,487,478,455,416,377,317
Pennsylvania,1520,1532,1614,1577,1490,1616,1525,1491,1468,1256,1324
Rhode Island,80,81,84,104,83,87,81,69,65,83,67
South Carolina,1065,1060,1053,969,1046,1094,1045,1077,921,894,809
South Dakota,173,171,180,203,197,186,191,146,121,131,140
Tennessee,1307,1251,1177,1193,1339,1270,1284,1211,1043,986,1032
Texas,3779,3736,3823,3821,3699,3536,3531,3466,3476,3104,3023
Utah,373,291,328,309,296,282,287,299,276,244,253
Vermont,76,92,78,69,98,73,87,66,73,74,71
Virginia,929,935,914,943,922,947,962,1027,825,758,740
Washington,631,649,658,600,567,649,633,571,521,492,460
West Virginia,411,376,439,394,410,374,410,432,378,357,315
Wisconsin,799,763,803,848,792,815,724,756,605,561,572
Wyoming,152,186,176,165,164,170,195,150,159,134,155
