State,Total population,Median age (years),Percent with no bachelor degree or higher,Percent Never Married,Percent Disabled,Median family income (dollars),Percent Unemployed
Alabama,4447100,35.8,81.0,23.9,21.3,41657,6.2
Alaska,626932,32.4,75.3,28.4,14.9,59036,9.0
Arizona,5130632,34.2,76.5,26.1,19.3,46723,5.6
Arkansas,2673400,36.0,83.3,21.2,23.6,38663,6.1
California,33871648,33.3,73.4,30.1,19.2,53025,7.0
Colorado,4301261,34.3,67.3,27.0,16.3,55883,4.3
Connecticut,3405565,37.4,68.6,27.2,17.5,65521,5.3
Delaware,783600,36.0,75.0,27.2,18.4,55257,5.2
District of Columbia,572059,34.6,60.9,48.4,21.9,46283,10.8
Florida,15982378,38.7,77.7,23.8,22.2,45625,5.6
Georgia,8186453,33.4,75.7,27.3,19.7,49280,5.5
Hawaii,1211537,36.2,73.8,30.3,18.4,56961,6.3
Idaho,1293953,33.2,78.3,22.8,17.1,43490,5.8
Illinois,12419293,34.7,73.9,28.9,17.6,55545,6.0
Indiana,6080485,35.2,80.6,24.8,19.0,50261,4.9
Iowa,2926324,36.6,78.8,24.9,16.6,48005,4.2
Kansas,2688418,35.2,74.2,24.1,17.6,49624,4.2
Kentucky,4041769,35.9,82.9,22.7,23.7,40939,5.7
Louisiana,4468976,34.0,81.3,28.6,21.8,39774,7.3
Maine,1274923,38.6,77.1,23.9,20.0,45179,4.8
Maryland,5296486,36.0,68.6,28.8,17.6,61876,4.7
Massachusetts,6349097,36.5,66.8,31.1,18.5,61664,4.6
Michigan,9938444,35.5,78.2,27.8,18.7,53457,5.8
Minnesota,4919479,35.4,72.6,28.1,15.0,56874,4.1
Mississippi,2844658,33.8,83.1,27.7,23.6,37406,7.4
Missouri,5595211,36.1,78.4,24.8,19.0,46044,5.3
Montana,902195,37.5,75.6,24.0,17.5,40487,6.3
Nebraska,1711263,35.3,76.3,25.8,16.0,48032,3.5
Nevada,1998257,35.0,81.8,24.9,20.6,50849,6.2
New Hampshire,1235786,37.1,71.3,24.9,16.9,57575,3.8
New Jersey,8414350,36.7,70.2,28.1,18.0,65370,5.8
New Mexico,1819046,34.6,76.5,27.5,20.4,39425,7.3
New York,18976457,35.9,72.6,31.7,20.6,51691,7.1
North Carolina,8049313,35.3,77.5,25.0,21.1,46335,5.3
North Dakota,642200,36.2,78.0,27.6,16.7,43654,4.6
Ohio,11353140,36.2,78.9,26.2,18.3,50037,5.0
Oklahoma,3450654,35.5,79.7,22.4,21.6,40709,5.3
Oregon,3421399,36.3,74.9,25.1,18.8,48680,6.5
Pennsylvania,12281054,38.0,77.6,27.2,18.6,49184,5.7
Rhode Island,1048319,36.7,74.4,29.7,20.2,52781,5.6
South Carolina,4012012,35.4,79.6,26.0,22.2,44227,5.9
South Dakota,754844,35.6,78.5,26.1,16.7,43237,4.4
Tennessee,5689283,35.9,80.4,23.5,22.0,43517,5.5
Texas,20851820,32.3,76.8,25.6,19.2,45861,6.1
Utah,2233169,27.1,73.9,27.9,14.9,51022,5.0
Vermont,608827,37.7,70.6,26.7,17.1,48625,4.2
Virginia,7078515,35.7,70.5,26.2,18.1,54169,4.2
Washington,5894121,35.3,72.3,26.3,18.2,53760,6.2
West Virginia,1808344,38.9,85.2,22.1,24.4,36484,7.3
Wisconsin,5363675,36.0,77.6,27.2,16.0,52911,4.7
Wyoming,493782,36.2,78.1,23.3,17.1,45685,5.3
